,model_name,fold,accuracy,vectorizer,method
35,RandomForest,5,0.7247873633049817,tfidf,lemma
36,RandomForest,6,0.7354191980558931,tfidf,lemma
37,RandomForest,7,0.7424058323207776,tfidf,lemma
38,RandomForest,8,0.7263061968408262,tfidf,lemma
39,RandomForest,9,0.7281287970838396,tfidf,lemma
0,SVC,0,0.7889462496204069,count,lemma
1,SVC,1,0.7986638323716976,count,lemma
2,SVC,2,0.7874278773155178,count,lemma
3,SVC,3,0.7846948071667172,count,lemma
4,SVC,4,0.7913756453082296,count,lemma
5,SVC,5,0.7834143377885784,count,lemma
6,SVC,6,0.7916160388821385,count,lemma
7,SVC,7,0.7852369380315918,count,lemma
8,SVC,8,0.7907047387606319,count,lemma
9,SVC,9,0.7919198055893074,count,lemma
10,Logisitc,0,0.8047373215912542,count,lemma
11,Logisitc,1,0.808685089583966,count,lemma
12,Logisitc,2,0.7953234133009414,count,lemma
13,Logisitc,3,0.797752808988764,count,lemma
14,Logisitc,4,0.799574855754631,count,lemma
15,Logisitc,5,0.7976913730255164,count,lemma
16,Logisitc,6,0.801640340218712,count,lemma
17,Logisitc,7,0.7982989064398542,count,lemma
18,Logisitc,8,0.8001215066828675,count,lemma
19,Logisitc,9,0.8025516403402188,count,lemma
20,NaiveBayes,0,0.6929851199514121,count,lemma
21,NaiveBayes,1,0.6814454904342545,count,lemma
22,NaiveBayes,2,0.6738536289098087,count,lemma
23,NaiveBayes,3,0.6753720012146979,count,lemma
24,NaiveBayes,4,0.6790160947464319,count,lemma
25,NaiveBayes,5,0.6819562575941677,count,lemma
26,NaiveBayes,6,0.6825637910085055,count,lemma
27,NaiveBayes,7,0.68134872417983,count,lemma
28,NaiveBayes,8,0.6691980558930741,count,lemma
29,NaiveBayes,9,0.68134872417983,count,lemma
30,RandomForest,0,0.7540236866079563,count,lemma
31,RandomForest,1,0.745520801700577,count,lemma
32,RandomForest,2,0.7446097783176435,count,lemma
33,RandomForest,3,0.7619192225933799,count,lemma
34,RandomForest,4,0.7564530822957789,count,lemma
35,RandomForest,5,0.7560753341433779,count,lemma
36,RandomForest,6,0.7566828675577156,count,lemma
37,RandomForest,7,0.7679222357229648,count,lemma
38,RandomForest,8,0.7539489671931956,count,lemma
39,RandomForest,9,0.755771567436209,count,lemma
0,SVC,0,0.8010932280595202,tfidf,stem
1,SVC,1,0.7916793197692074,tfidf,stem
2,SVC,2,0.8007895535985423,tfidf,stem
3,SVC,3,0.7892499240813847,tfidf,stem
4,SVC,4,0.7947160643789857,tfidf,stem
5,SVC,5,0.784325637910085,tfidf,stem
6,SVC,6,0.787363304981774,tfidf,stem
